,Patient GP,GP practice name,Postcode,ICB23ons,LAD21,LAD21name,ICB23,ICB23name,LSOA11,MSOA11,POSTCODE,NUMBER_OF_PATIENTS,Count_x,Count_y
0,E82042,ABBEY ROAD SURGERY,EN8 7LJ,E54000025,E07000095,Broxbourne,QM7,NHS Hertfordshire and West Essex ICB,E01023337,E02004855,EN8 7LJ,9798,1,1
1,E82063,THE MAPLES,EN10 6FD,E54000025,E07000095,Broxbourne,QM7,NHS Hertfordshire and West Essex ICB,E01023342,E02004847,EN10 6FD,12612,1,1
2,E82081,CUFFLEY AND GOFFS OAK MEDICAL PRACTICE,EN6 4JA,E54000025,E07000241,Welwyn Hatfield,QM7,NHS Hertfordshire and West Essex ICB,E01023947,E02004995,EN6 4JA,13037,1,1
3,E82085,THE RED HOUSE GROUP,WD7 7JQ,E54000025,E07000098,Hertsmere,QM7,NHS Hertfordshire and West Essex ICB,E01023525,E02004900,WD7 7JQ,19223,1,1
4,E82133,HIGH STREET SURGERY,EN8 0BX,E54000025,E07000095,Broxbourne,QM7,NHS Hertfordshire and West Essex ICB,E01023303,E02004850,EN8 0BX,7484,1,1
5,E83013,CORNWALL HOUSE SURGERY,N3 1LD,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000296,E02000046,N3 1LD,5843,1,1
6,E83044,ADDINGTON MEDICAL CENTRE,EN5 1QH,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000251,E02000025,EN5 1QH,9749,1,1
7,E83045,FRIERN BARNET MEDICAL CENTRE,N11 3BU,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000161,E02000038,N11 3BU,9710,1,1
8,E83639,ROSEMARY SURGERY,N3 2QN,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000197,E02000046,N3 2QN,6170,1,1
9,F81072,"HIGH STREET SURGERY, EPPING",CM16 4DA,E54000025,E07000072,Epping Forest,QM7,NHS Hertfordshire and West Essex ICB,E01021762,E02004531,CM16 4DA,7731,1,1
10,F83002,RIVER PLACE HEALTH CENTRE,N1 2DE,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002793,E02000569,N1 2DE,10770,1,1
11,F83004,ARCHWAY MEDICAL CENTRE,N19 3NU,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002810,E02000556,N19 3NU,24639,1,1
12,F83007,ROMAN WAY MEDICAL CENTRE,N1 1SW,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002795,E02000566,N1 1SW,3510,1,1
13,F83008,THE GOODINGE GROUP PRACTICE,N7 9EW,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002766,E02000568,N7 9EW,12223,1,1
14,F83010,ISLINGTON CENTRAL MEDICAL CENTRE,N1 1SW,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002795,E02000566,N1 1SW,20717,1,1
15,F83039,THE RISE GROUP PRACTICE,N19 3YU,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002758,E02000554,N19 3YU,4977,1,1
16,F83045,THE MILLER PRACTICE,N5 2ET,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002781,E02000565,N5 2ET,9561,1,1
17,F83055,WEST HAMPSTEAD MEDICAL CENTRE,NW6 1TP,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000971,E02000175,NW6 1TP,22638,1,1
18,F83056,THE MITCHISON ROAD SURGERY,N1 3NG,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002716,E02000567,N1 3NG,9577,1,1
19,F83059,BRONDESBURY MEDICAL CENTRE,NW6 7JQ,E54000028,E09000005,Brent,QMJ,NHS North Central London ICB,E01000545,E02000120,NW6 7JQ,22269,1,1
20,F83652,AMWELL GROUP PRACTICE,WC1X 0GB,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002726,E02000575,WC1X 0GB,10852,1,1
21,F83660,HIGHBURY GRANGE MEDICAL PRACTICE,N5 2QB,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002744,E02000562,N5 2QB,9086,1,1
22,F83673,THE MEDICAL CENTRE,N7 8DD,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01033491,E02000564,N7 8DD,6026,1,1
23,F83674,THE JUNCTION MEDICAL PRACTICE,N19 5EW,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002768,E02000557,N19 5EW,9248,1,1
24,F83681,PARTNERSHIP PRIMARY CARE CENTRE,N7 0SL,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002763,E02000560,N7 0SL,8918,1,1
25,F83686,STROUD GREEN MEDICAL CENTRE,N4 3PZ,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002805,E02000556,N4 3PZ,6900,1,1
26,F84036,THE CEDAR PRACTICE,N4 2NU,E54000029,E09000012,Hackney,QMF,NHS North East London ICB,E01001714,E02000346,N4 2NU,8130,1,1
27,F84119,THE HERON PRACTICE,N4 2NU,E54000029,E09000012,Hackney,QMF,NHS North East London ICB,E01001714,E02000346,N4 2NU,12662,1,1
28,F85004,EAGLE HOUSE SURGERY,EN3 4DN,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001507,E02000288,EN3 4DN,13007,1,1
29,F85013,TYNEMOUTH MEDICAL PRACTICE,N15 4RH,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002068,E02000421,N15 4RH,9338,1,1
30,F85017,CHARLTON HOUSE MEDICAL CENTRE,N17 6SB,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001979,E02000407,N17 6SB,6321,1,1
31,F85030,SOMERSET GARDENS FAMILY HEALTH CENTRE,N17 8NW,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002092,E02000402,N17 8NW,13578,1,1
32,F85031,WESTBURY MEDICAL CENTRE,N22 6RX,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002028,E02000406,N22 6RX,11486,1,1
33,F85032,SOUTHGATE,N14 4PR,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001420,E02000296,N14 4PR,9888,1,1
34,F85034,ARCADIAN GARDENS SURGERY,N22 5AB,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002102,E02000403,N22 5AB,7102,1,1
35,F85035,HIGHLANDS PRACTICE,N21 1UJ,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001522,E02000295,N21 1UJ,11385,1,1
36,F85058,NIGHTINGALE HOUSE SURGERY,N9 8AJ,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001476,E02000294,N9 8AJ,6707,1,1
37,F85061,CHRISTCHURCH HALL SURGERY,N8 8AE,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001985,E02000429,N8 8AE,3023,1,1
38,F85063,THE MUSWELL HILL PRACTICE,N10 3ST,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001997,E02000410,N10 3ST,15586,1,1
39,F85065,STUART CRESCENT MEDICAL PRACTICE,N22 5NJ,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002105,E02000403,N22 5NJ,3099,1,1
40,F85071,FERNLEA SURGERY,N15 6JR,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002051,E02000425,N15 6JR,12044,1,1
41,F85615,TOTTENHAM HEALTH CENTRE,N17 8AH,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002034,E02006794,N17 8AH,5681,1,1
42,F85623,GROVE ROAD SURGERY,N15 5HJ,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002046,E02000422,N15 5HJ,4445,1,1
43,F85634,EAST ENFIELD PRACTICE,EN3 4DE,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001507,E02000288,EN3 4EZ,8099,1,1
44,F85640,CHESHIRE ROAD SURGERY,N22 8JJ,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001975,E02000397,N22 8JJ,6679,1,1
45,F85642,THE NORTH LONDON HEALTH CENTRE,N13 4JJ,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001501,E02000312,N13 4JJ,8714,1,1
46,F85669,WEST GREEN ROAD SURGERY,N15 3PB,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002043,E02000422,N8 0RA,21424,1,1
47,F85688,RUTLAND HOUSE SURGERY,N10 1DU,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001997,E02000410,N10 1DU,11039,1,1
48,F85701,GILLAN HOUSE SURGERY,N13 4BS,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001563,E02000305,N13 4BS,12719,1,1
49,F86026,THE FOREST SURGERY,E17 4BA,E54000029,E09000031,Waltham Forest,QMF,NHS North East London ICB,E01004348,E02000904,E17 4BA,7056,1,1
50,G81044,MONTPELIER SURGERY,BN1 3FS,E54000053,E06000043,Brighton and Hove,QNX,NHS Sussex ICB,E01016953,E02003517,BN1 3FS,6197,1,1
51,G83680,ELTHAM MEDICAL PRACTICE,SE9 5DQ,E54000030,E09000011,Greenwich,QKK,NHS South East London ICB,E01001615,E02000340,SE9 5DQ,25067,1,1
52,H84020,FAIRHILL MEDICAL PRACTICE,KT2 7PX,E54000031,E09000021,Kingston upon Thames,QWE,NHS South West London ICB,E01002954,E02000600,KT2 7PX,21928,1,1
53,Y02674,CAMDEN HEALTH IMPROVEMENT PRACTICE,NW1 2LS,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000945,E02000188,NW1 2LS,628,1,1
54,Y03135,BRIDGE HOUSE MEDICAL PRACTICE,N4 1TL,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002002,E02000427,N4 1TL,9330,1,1
55,Y05330,TOTTENHAM HALE MEDICAL PRACTICE,N17 9FD,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002080,E02000411,N17 9FD,4716,1,1
